1,0,Sentiment140,                     is so sad for my APL friend i could not find him
2,0,Sentiment140,                   I didn't missed the New Moon trailer...
3,1,Sentiment140,              omg its already 7:30 never come :O
4,0,Sentiment140,          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...
5,0,Sentiment140,         i think mi bf is cheating on me!!!       T_T
6,0,Sentiment140,         or i just worry too much?
7,1,Sentiment140,       Juuuuuuuuuuuuuuuuussssst Chillin!!
8,0,Sentiment140,       Sunny Again        Work Tomorrow  :-|       TV Tonight
9,1,Sentiment140,      handed in my uniform today . i miss you already
10,1,Sentiment140,      hmmmm.... i wonder how she my number @-)
11,0,Sentiment140,      I must think about positive..
12,1,Sentiment140,      thanks to all the haters up in my face all day! 112-102
13,0,Sentiment140,      this weekend has sucked so far
14,0,Sentiment140,     jb isnt showing in australia any more!
15,0,Sentiment140,     ok thats it you win.
16,0,Sentiment140,    &lt;-------- This is the way i feel right now...
17,0,Sentiment140,"    awhhe man.... I'm completely useless rt now. Funny, all I can do is twitter. http://myloc.me/27HX"
18,1,Sentiment140,    Feeling strangely fine. Now I'm gonna go listen to some Semisonic to celebrate
19,0,Sentiment140,    HUGE roll of thunder just now...SO scary!!!!
20,0,Sentiment140,    I just cut my beard off. It's only been growing for well over a year. I'm gonna start it over. @shaunamanu is happy in the meantime.
21,0,Sentiment140,    Very sad about Iran.
22,0,Sentiment140,    wompppp wompp
23,1,Sentiment140,    You're the only one who can see this cause no one else is following me this is for you because you're pretty awesome
24,0,Sentiment140,   &lt;---Sad level is 3. I was writing a massive blog tweet on Myspace and my comp shut down. Now it's all lost *lays in fetal position*
25,0,Sentiment140,   ...  Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!
26,0,Sentiment140,   BoRinG   ): whats wrong with him??     Please tell me........   :-/
27,0,Sentiment140,   can't be bothered. i wish i could spend the rest of my life just sat here and going to gigs. seriously.
28,0,Sentiment140,"   Feeeling like shit right now. I really want to sleep, but nooo I have 3 hours of dancing and an art assignment to finish. "
29,1,Sentiment140,"   goodbye exams, HELLO ALCOHOL TONIGHT "
30,0,Sentiment140,   I didn't realize it was THAT deep. Geez give a girl a warning atleast!
31,0,Sentiment140,   I hate it when any athlete appears to tear an ACL on live television.
32,0,Sentiment140,   i miss you guys too     i think i'm wearing skinny jeans a cute sweater and heels   not really sure   what are you doing today
33,0,Sentiment140,  -- Meet your Meat http://bit.ly/15SSCI
34,0,Sentiment140,   My horsie is moving on Saturday morning.
35,0,Sentiment140,   No Sat off...Need to work 6 days a week
36,0,Sentiment140,   Really Dont Like Doing my Room Its So Boring  Sick Of Doing My Wardrobe Out Cant Waiit Till I Have My Walk In One  Yay
37,0,Sentiment140,"   SOX!     Floyd was great, but relievers need a scolding!"
38,0,Sentiment140,   times by like a million
